# Graph Title,Efficiency vs Load Current 1MHz
# Curve Name,data0
# X Scale,Linear
# Y Scale,Linear
# X Unit Prefix,1
# Y Unit Prefix,1
# X Min,0
# X Max,25
# Y Min,70
# Y Max,100
# Temperature,25
# Exported At,2026-06-17T12:00:00.000Z
#
Index,X,Y
1,2,81.57515528
2,3,86.46931559
3,4,89.16567504
4,5,90.20515716
5,6,91.2915899
6,7,91.42112683
7,8,91.68832911
8,9,91.80264698
9,10,91.98850586
10,11,91.95101967
11,12,91.66675919
12,13,91.4748632
13,14,91.1670264
14,15,91.05417985
15,16,90.55545696
16,17,90.34480016
17,18,90.0600663
18,19,89.92127059
19,20,89.5231913
20,21,89.28449596
21,22,88.86279361
22,23,88.69098327
23,24,88.33176178
24,25,87.96807178
